1;Teatro da Politecnica;Lisboa;PERTINHO DA TORRE EIFFEL DE ABEL NEVES;21/04/2022;20;10
2;Tenda do Chapito;Lisboa;ANTIGONA 3 POR 3,5;21/04/2022;50;12,5
3;Teatro Lethes;Faro;LOOP;21/04/2022;10;10
4;Teatro da Tindade Inatel;Lisboa;O BEIJO DA MULHER ARANHA;21/04/2022;5;12
5;Teatro Bairro Alto;Lisboa;ACTION HERO E DEBORAH PEARSON THE TALENT;22/04/2022;2;8,5
6;Teatro Nacional D.Maria II;Lisboa;SAIGAO;22/04/2022;20;9
7;Emporium Mercearia & PUB;Campo de Ourique;STAND UP - EMPORIUM NOITE BRASILEIRA;22/04/2022;9;5
8;Cine Teatro Louletano;Loule;ALMA | A TURMA;22/04/2022;2;8
9;Convento Sao Francisco;Santarem ;CORRER PARA FICAR QUIETO;22/04/2022;12;7,5
10;Quartel das Artes DR.Alipio;Oliveira do Bairro;MONOLOGOS DA VAGINA;22/04/2022;2;20
11;Casa das Artes;Famalicao;SOUNDCHECK;22/04/2022;1;4
12;Teatro Armando Cortez;Lisboa;ALICE @ SITIO FIXE;25/04/2022;29;6,25
13;Teatro Aberto;Lisboa;OS FILHOS;26/04/2022;25;17
14;Teatro Aberto;Lisboa;OS FILHOS;27/04/2022;2;17
15;Teatro Municipal Baltazar Dias - Funchal;Funchal;IMPOSSIVEL;28/04/2022;40;3
16;Teatro da Cerca de São Bernardo;Coimbra;CIDADE, DIALOGOS, DE GONCALO M.TAVARES;28/04/2022;20;10
17;Teatro Meridional;Lisboa;VADIO(TM ACOLHIMENTO);28/04/2022;10;12
18;Teatro Municipal da Covilha;Castelo Branco;ASTA | LANO KAJ NEGO(A LA E A NEVE);28/04/2022;30;6
19;Boutique Da Cultura;Lisboa;A FARSA DE INES PEREIRA;28/04/2022;20;7
20;Teatro Municipal Baltazar Dias - Funchal;Funchal;IMPOSSIVEL;29/04/2022;10;3
21;Teatro Nacional D.Maria II;Lisboa;ESPECTROS;29/04/2022;5;16
22;Emporium Mercearia & PUB;Campo de Ourique;STAND UP CAPIVARA ALBINA - BRASILEIROS E ANGOLANOS;29/04/2022;7;10
23;Teatro Meridional;Lisboa;VADIO(TM ACOLHIMENTO);29/04/2022;1;12
24;Teatro Municipal Baltazar Dias - Funchal;Funchal;IMPOSSIVEL;29/04/2022;60;3
25;Cine-Teatros Paraiso;Tomar;MONOLOGOS DO PENIS;30/04/2022;20;14
26;Teatro Independente de Oeiras;Oeiras;AQUI HÁ FANTASMAS;30/04/2022;50;15
27;Casa da Cultura Jaime Lobo e Silva;Ericeira;CABECA NA LUA O MUSICAL;30/04/2022;20;8
28;Roterdao Club;Lisboa;CAIS A RIR | ENGLISH NIGHT;30/04/2022;2;5
29;Centro Cultural de Belem;Lisboa;PONTEN PIE:LOO;30/04/2022;70;7
30;Maria Matos Teatro Municipal;Lisboa;O PRINCIPEZINHO;30/04/2022;20;20
